URL,Relevância
http://almawelt.blogspot.com.br/2008/03/carruagem-de-alma-welt_15.html,1
http://conselhonacionaldepastores.com.br/cursos-a-distancia/internacional,1
http://cotrame.com.br/conteudos/filosofia.html,2
http://novaescola.org.br/subhome/20/filosofia,1
http://sofilosofia.com.br,3
http://batalhadoras.org.br/rss,1
http://estudantedefilosofia.com.br,4
http://emmathomas.com.br/blog/flora-assumpcao-premio-funarte/,1
http://pastorlutero.com.br/cursos-a-distancia/aperfeicoamento,0
http://almawelt.blogspot.com.br,1
http://jurua.com.br/shop_areas.asp?area=LitPoliticaHistoriaFilosofia,1
http://filosofia.pro.br/wp-login.php,1
http://blogger.com/profile/04193207732938277602,1
http://estantevirtual.com.br/livros-mais-vendidos/filosofia,2
http://filosofia.com.br/filosofia.php,3
http://blogger.com/profile/08565688388397402977,1
http://blogger.com/profile/13325575763931609757,1
http://dpsofia.ufba.br/,0
http://livraria.folha.com.br/livros/musica/curtindo-musica-brasileira-alexandre-petillo-1216234.html,1
http://defil.ufu.br/,0
http://blogger.com/profile/10678592910188331204,1
http://escoladigital.org.br/procurar?facet_labels%5Bmedia%5D%5B%5D=54b9451569702d490a131600,1
http://ibapnet.org.br/congresso2013/lista_trabalhos_poster.php,1
http://montfort.org.br/bra/cadernos/religiao,2
http://maph.com.br/product_info.php?cPath=22&products_id=178&osCsid=5sfakp8b64rjuob4vf87o6nu36,1
http://blogger.com/profile/04183431144378235892,1
http://cchla.ufrn.br/novosite/?p=3787,3
http://meuartigo.brasilescola.uol.com.br/filosofia,3
http://claraaverbuck.com.br/feeds/rss,0
http://monografias.brasilescola.uol.com.br/filosofia,3
http://jurua.com.br/shop_areas.asp?area=filosofia,2
http://novagokula.com.br/contato.html,1
http://livrariaunesp.com.br/departamento/1078/filosofia,2
http://lote42.com.br/jamateipormenos/extra.html,2
http://cartaeducacao.com.br/disciplinas/filosofia,1
http://pensadoranonimo.com.br/category/filososfia,1
